name,distance
MMU Rugby Field,0.27
MMU Cyber Park,0.45
MMU Swimming Pool Complex,0.50
MMU Sepak Takraw & Badminton Court,0.55
MMU Indoor Sports Complex,0.65
MMU Cyberjaya Tennis Courts,0.70
MMU Volleyball Court,0.80
Cyberjaya Lake Gardens,0.90
MMU Football Field,1.00
The Arc B - Block Swimming Pool,1.20
Cyberjaya Park (Taman Mini Cyberjaya),1.70
SANTAI GYM CYBERJAYA,1.70
Celebrity Fitness Gym - Dpulze,1.80
Lepironia Garden Hammock Club,1.90
Lingkaran Cyber Point Park,1.90
MuscleHub,2.30
PVSwim School Cyberjaya,2.50
Kinofit Yoga & Fitness,2.60
Anytime Fitness Tamarind Square,2.70
Prima Avenue Sports And Recreation Center,2.80
Cyber Titan Swimming Academy,2.90
Cyberjaya LakeFront Park,3.30
TSI Sports Arena Cyberjaya,3.50

